,date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,review_title_knowledge,review_title_power,review_title_respect,review_title_trust,review_title_social_support,review_title_romance,review_title_similarity,review_title_identity,review_title_fun,review_title_conflict,pros_knowledge,pros_power,pros_respect,pros_trust,pros_social_support,pros_romance,pros_similarity,pros_identity,pros_fun,pros_conflict,cons_knowledge,cons_power,cons_respect,cons_trust,cons_social_support,cons_romance,cons_similarity,cons_identity,cons_fun,cons_conflict
0,2020-1, Senior Engineer,,Current Employee ,ICT Senior engineer,"ICT Industry leader, Innovation, customer-centric","Heavy workload, high tension in daily work.",5.0,2.0,4.0,5.0,5.0,4.0,0.5920138955116272,0.5891631841659546,0.5149935483932495,0.5030379891395569,0.473960816860199,0.3106510639190674,0.45386171340942383,0.46678775548934937,0.5460880398750305,0.4198271334171295,0.7771950364112854,0.6885040998458862,0.5539589524269104,0.5854226350784302,0.35168468952178955,0.0002767506812233478,0.2834976315498352,0.48009830713272095,0.10322806984186172,0.4021589457988739,0.7180396914482117,0.45248129963874817,0.2689973711967468,0.20686060190200806,0.5396885871887207,0.0002733495202846825,0.392402708530426,0.5003449320793152,0.24928642809391022,0.18039852380752563
1,2020-2,,,Current Employee ,HR senior specialist,good culture and competitive compensation,work life balance is not working well,4.0,2.0,5.0,5.0,5.0,4.0,0.5783209800720215,0.6194090247154236,0.4793380796909332,0.46958300471305847,0.4705795645713806,0.29970985651016235,0.4819132387638092,0.45959344506263733,0.3781723976135254,0.33013421297073364,0.5458418726921082,0.37230777740478516,0.550899863243103,0.6318994164466858,0.5299432277679443,0.06336488574743271,0.48535770177841187,0.5151865482330322,0.4363035559654236,0.3891395032405853,0.5614896416664124,0.6040982007980347,0.44208624958992004,0.6436051726341248,0.6327463984489441,0.4100273549556732,0.4914654791355133,0.5249084830284119,0.38936981558799744,0.2127649337053299
2,2020-2,,,Former Employee ,Interesting problems and products to work on,"the company offers good opportunities,",the company is a sometimes a bit disorganised,3.0,3.0,2.0,5.0,4.0,4.0,0.6370376944541931,0.345120906829834,0.498373806476593,0.5532894134521484,0.40411803126335144,0.01602499559521675,0.4193400740623474,0.436153382062912,0.3922450840473175,0.16963744163513184,0.6584041714668274,0.5257410407066345,0.5610731244087219,0.5435906052589417,0.563327968120575,0.10353247821331024,0.4854649305343628,0.43363529443740845,0.275289386510849,0.08731801807880402,0.7393455505371094,0.4071733355522156,0.2658807635307312,0.23335815966129303,0.23177498579025269,0.0031027616932988167,0.37544116377830505,0.49159905314445496,0.2501158118247986,0.41227689385414124
3,2020-1, Director,"Reading, England",Former Employee ,Good Employer,Value hard work and contribution Good rewards Recognise talent Good learning Can be very inclusive Trust,Work you very hard Some barriers to effective contribution and visibility at times,4.0,3.0,4.0,3.0,5.0,4.0,0.48015108704566956,0.5073366761207581,0.5167050957679749,0.5121814608573914,0.5264251828193665,0.2133844941854477,0.4876631498336792,0.4936388432979584,0.5522944927215576,0.42755430936813354,0.5482760071754456,0.16682562232017517,0.8521128296852112,0.9167145490646362,0.7843506336212158,0.007614335510879755,0.19939495623111725,0.4691183865070343,0.474283367395401,0.00761227123439312,0.5892324447631836,0.3259984254837036,0.49909183382987976,0.6785443425178528,0.6464830636978149,0.04252047464251518,0.2852306365966797,0.4215796887874603,0.33632341027259827,0.04644541069865227
4,2020-1, Consulting Practice Director,,Current Employee ,Ok company,Growing company with lots of available computing resources.,"There are difficulties when communicating with HQ (long-distance) plus the cultural difference is not helping. From a research perspective, the directions can change without any clear motivation.",3.0,,,,,,0.4603084623813629,0.5103458762168884,0.4835471510887146,0.5226020216941833,0.45979830622673035,0.41365039348602295,0.48173779249191284,0.49392426013946533,0.5845461487770081,0.41407039761543274,0.8320239782333374,0.6519349217414856,0.3492661714553833,0.45008063316345215,0.2601190507411957,4.453643487067893e-05,0.46933743357658386,0.4945320188999176,0.04568064957857132,0.05098104849457741,0.9918055534362793,0.05366094037890434,0.058733534067869186,5.78444485199725e-07,0.08453954011201859,0.00044904634705744684,0.8311169743537903,0.5179582834243774,0.03868836537003517,0.04376108571887016
5,2020-1, Product Manager,,Current Employee ,Nice place to work,Highly motivated environment and helpful colleagues,Highly demanded for internal communication,5.0,,,,,,0.45054736733436584,0.46291518211364746,0.5608433485031128,0.5361589789390564,0.5254000425338745,0.3787766993045807,0.47516706585884094,0.456808477640152,0.6715701222419739,0.2037026733160019,0.5658429265022278,0.4498538374900818,0.7359439134597778,0.6162189245223999,0.6151491403579712,0.04830517619848251,0.412994921207428,0.47120583057403564,0.37569189071655273,0.2203497588634491,0.6197899580001831,0.5767644643783569,0.576522946357727,0.5422723889350891,0.3817337453365326,0.1534166932106018,0.4109535813331604,0.4838947057723999,0.24230878055095673,0.36451593041419983
6,2020-1, Core Network Engineer,,Former Employee ,Good company for graduate,"Latest technology, lots of training, big challenges and many opportunities to join big project","Too many meetings and procedures, low efficiency",3.0,1.0,1.0,5.0,5.0,1.0,0.5359712243080139,0.5382118225097656,0.5800292491912842,0.5685829520225525,0.5186137557029724,0.1401042938232422,0.47673162817955017,0.43920016288757324,0.45873337984085083,0.21258561313152313,0.837066650390625,0.31657832860946655,0.5310042500495911,0.8446348905563354,0.6142826080322266,0.01987186074256897,0.12596313655376434,0.35776016116142273,0.35506290197372437,0.019312772899866104,0.6138284802436829,0.43190979957580566,0.4865793287754059,0.6092332601547241,0.5220276117324829,0.003612985834479332,0.40531325340270996,0.4605857729911804,0.24990127980709076,0.22667735815048218
7,2019-12, Student Assistant,,Current Employee ,a gread research facility with a professional environment,wonderful research experience and person development,Weilheim is a small city closer to Munich,5.0,5.0,5.0,5.0,5.0,5.0,0.7152234315872192,0.5891466736793518,0.4752184748649597,0.3678955137729645,0.4909263551235199,0.042013660073280334,0.35668477416038513,0.47515296936035156,0.30099934339523315,0.11993057280778885,0.5963320732116699,0.3482465147972107,0.6343939304351807,0.6293841600418091,0.6163080334663391,0.16476015746593475,0.5068272948265076,0.48292776942253113,0.5031094551086426,0.0752391666173935,0.6334139704704285,0.35901281237602234,0.3193017244338989,0.32969191670417786,0.5319392085075378,0.09142453968524933,0.41111618280410767,0.4706612229347229,0.2221924215555191,0.23149411380290985
8,2019-12, AR Specialist,"Manchester, England",Current Employee ,Within UK Delivery Operations Centre department,"Strong stress management skills achieved, High efficiency in working environment required",High stress in most times.,3.0,,,,,,0.6308836936950684,0.6155815720558167,0.41855528950691223,0.4728914499282837,0.32182011008262634,0.700255811214447,0.5009854435920715,0.48956671357154846,0.5556871891021729,0.16184961795806885,0.8609312772750854,0.811948299407959,0.4877053499221802,0.8030571937561035,0.6162242889404297,0.02373327873647213,0.4150010049343109,0.4675951302051544,0.24853390455245972,0.06195339187979698,0.6976597905158997,0.483175665140152,0.3028709888458252,0.40991637110710144,0.48000308871269226,0.04176918789744377,0.4717329442501068,0.568918764591217,0.22308337688446045,0.3110808730125427
9,2019-12, IT Consultant,,Current Employee ,Best,We can learn too many things here,Overtime works made this company,5.0,5.0,5.0,5.0,5.0,5.0,0.49823901057243347,0.5091267824172974,0.49535974860191345,0.5105709433555603,0.49807220697402954,0.5312660336494446,0.49574920535087585,0.4887565076351166,0.5631908774375916,0.4754684567451477,0.41959434747695923,0.37523794174194336,0.5295112729072571,0.7527598142623901,0.6381718516349792,0.05147657170891762,0.493854820728302,0.4516688883304596,0.6253712773323059,0.13487327098846436,0.5862109661102295,0.5204766392707825,0.48574358224868774,0.464345782995224,0.4737783670425415,0.15180985629558563,0.4892183244228363,0.43681156635284424,0.42271825671195984,0.25189298391342163
