date,filter,text
1 January 2009,nokia,Nokia Stocks -53% compared to previous year
1 January 2010,nokia,Nokia Stocks -21% compared to previous year
1 January 2011,nokia,Nokia Stocks -10% compared to previous year
1 January 2012,nokia,Nokia Stocks -54% compared to previous year
November 2012,,Obama is reelected
1 January 2013,nokia,Nokia Stocks -22% compared to previous year
1 January 2014,nokia,Nokia Stocks +10% compared to previous year
1 January 2015,nokia,Nokia Stocks -10% compared to previous year
1 January 2016,nokia,Nokia Stocks -1% compared to previous year
1 January 2017,nokia,Nokia Stocks -31% compared to previous year
6 June 2017,nokia,Nokia is attempting to reduce approximately $1 billion in operating costs by 2018 by cutting thousands of jobs in Europe
1 January 2018,nokia,Nokia Stocks -12% compared to previous year
12 Feb 2018,nokia,Hundreds of IT jobs are at risk in Finland as Nokia announces plans for more cuts thousands of jobs amid 5G transformation
1 January 2019,nokia,Nokia Stocks +25% compared to previous year
16 January 2019,nokia,Nokia Corporation aim to achieve €700 million in cost savings till 2020 that will include layoffs of up to 1330 people in Europe.
1 January 2020,nokia,Nokia Stocks -28% compared to previous year
10 June 2010,apple,Apple announced the iPhone 4.
24 August 2011,apple,Steve Jobs has resigned as Chief Executive Officer
15 September 2012,apple,Apple announced the iPhone 5.
5 October 2011,apple,Steve Jobs died following a long battle with pancreatic cancer. 
9 March 2015,apple,"The Apple Watch, the company's first smartwatch, was introduced. "
27 October 2016,apple,A new generation of MacBook Pro was announced.
31 December 2009,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 26%
31 December 2010,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 22%
31 December 2011,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 5%
31 December 2012,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 1%
31 December 2013,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 22%
31 December 2014,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 53%
31 December 2015,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 21%
31 December 2016,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 6%
31 December 2017,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 37%
31 December 2018,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 3%
31 December 2019,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 9%
31 December 2020,generaldynamics,generaldynamics's yearly stock price <b>decreased</b> by 13%
31 December 2021,generaldynamics,generaldynamics's yearly stock price <b>increased</b> by 5%
31 December 2009,nvr,nvr's yearly stock price <b>increased</b> by 1%
31 December 2010,nvr,nvr's yearly stock price <b>increased</b> by 23%
31 December 2011,nvr,nvr's yearly stock price <b>increased</b> by 4%
31 December 2012,nvr,nvr's yearly stock price <b>increased</b> by 16%
31 December 2013,nvr,nvr's yearly stock price <b>increased</b> by 20%
31 December 2014,nvr,nvr's yearly stock price <b>increased</b> by 19%
31 December 2015,nvr,nvr's yearly stock price <b>increased</b> by 26%
31 December 2016,nvr,nvr's yearly stock price <b>increased</b> by 14%
31 December 2017,nvr,nvr's yearly stock price <b>increased</b> by 52%
31 December 2018,nvr,nvr's yearly stock price <b>increased</b> by 13%
31 December 2019,nvr,nvr's yearly stock price <b>increased</b> by 15%
31 December 2020,nvr,nvr's yearly stock price <b>increased</b> by 12%
31 December 2021,nvr,nvr's yearly stock price <b>increased</b> by 19%
31 December 2009,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 5%
31 December 2010,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 17%
31 December 2011,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20%
31 December 2012,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 7%
31 December 2013,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 28%
31 December 2014,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 23%
31 December 2015,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 16%
31 December 2016,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 33%
31 December 2017,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 17%
31 December 2018,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 9%
31 December 2019,atmosenergy,atmosenergy's yearly stock price <b>increased</b> by 20%
31 December 2020,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 1%
31 December 2021,atmosenergy,atmosenergy's yearly stock price <b>decreased</b> by 10%
31 December 2009,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 3%
31 December 2010,pizzahut,pizzahut's yearly stock price <b>increased</b> by 32%
31 December 2011,pizzahut,pizzahut's yearly stock price <b>increased</b> by 27%
31 December 2012,pizzahut,pizzahut's yearly stock price <b>increased</b> by 30%
31 December 2013,pizzahut,pizzahut's yearly stock price <b>increased</b> by 6%
31 December 2014,pizzahut,pizzahut's yearly stock price <b>increased</b> by 8%
31 December 2015,pizzahut,pizzahut's yearly stock price <b>increased</b> by 10%
31 December 2016,pizzahut,pizzahut's yearly stock price <b>increased</b> by 6%
31 December 2017,pizzahut,pizzahut's yearly stock price <b>increased</b> by 24%
31 December 2018,pizzahut,pizzahut's yearly stock price <b>increased</b> by 19%
31 December 2019,pizzahut,pizzahut's yearly stock price <b>increased</b> by 25%
31 December 2020,pizzahut,pizzahut's yearly stock price <b>decreased</b> by 9%
31 December 2021,pizzahut,pizzahut's yearly stock price <b>increased</b> by 14%
31 December 2009,halliburton,halliburton's yearly stock price <b>decreased</b> by 35%
31 December 2010,halliburton,halliburton's yearly stock price <b>increased</b> by 39%
31 December 2011,halliburton,halliburton's yearly stock price <b>increased</b> by 38%
31 December 2012,halliburton,halliburton's yearly stock price <b>decreased</b> by 22%
31 December 2013,halliburton,halliburton's yearly stock price <b>increased</b> by 37%
31 December 2014,halliburton,halliburton's yearly stock price <b>increased</b> by 32%
31 December 2015,halliburton,halliburton's yearly stock price <b>decreased</b> by 29%
31 December 2016,halliburton,halliburton's yearly stock price <b>increased</b> by 4%
31 December 2017,halliburton,halliburton's yearly stock price <b>increased</b> by 12%
31 December 2018,halliburton,halliburton's yearly stock price <b>decreased</b> by 5%
31 December 2019,halliburton,halliburton's yearly stock price <b>decreased</b> by 43%
31 December 2020,halliburton,halliburton's yearly stock price <b>decreased</b> by 39%
31 December 2021,halliburton,halliburton's yearly stock price <b>increased</b> by 36%
31 December 2009,paccar,paccar's yearly stock price <b>decreased</b> by 17%
31 December 2010,paccar,paccar's yearly stock price <b>increased</b> by 38%
31 December 2011,paccar,paccar's yearly stock price <b>increased</b> by 3%
31 December 2012,paccar,paccar's yearly stock price <b>decreased</b> by 5%
31 December 2013,paccar,paccar's yearly stock price <b>increased</b> by 31%
31 December 2014,paccar,paccar's yearly stock price <b>increased</b> by 23%
31 December 2015,paccar,paccar's yearly stock price <b>decreased</b> by 2%
31 December 2016,paccar,paccar's yearly stock price <b>decreased</b> by 3%
31 December 2017,paccar,paccar's yearly stock price <b>increased</b> by 24%
31 December 2018,paccar,paccar's yearly stock price <b>decreased</b> by 0%
31 December 2019,paccar,paccar's yearly stock price <b>increased</b> by 13%
31 December 2020,paccar,paccar's yearly stock price <b>increased</b> by 17%
31 December 2021,paccar,paccar's yearly stock price <b>increased</b> by 21%
31 December 2009,cintas,cintas's yearly stock price <b>decreased</b> by 7%
31 December 2010,cintas,cintas's yearly stock price <b>increased</b> by 7%
31 December 2011,cintas,cintas's yearly stock price <b>increased</b> by 16%
31 December 2012,cintas,cintas's yearly stock price <b>increased</b> by 33%
31 December 2013,cintas,cintas's yearly stock price <b>increased</b> by 23%
31 December 2014,cintas,cintas's yearly stock price <b>increased</b> by 37%
31 December 2015,cintas,cintas's yearly stock price <b>increased</b> by 36%
31 December 2016,cintas,cintas's yearly stock price <b>increased</b> by 18%
31 December 2017,cintas,cintas's yearly stock price <b>increased</b> by 34%
31 December 2018,cintas,cintas's yearly stock price <b>increased</b> by 40%
31 December 2019,cintas,cintas's yearly stock price <b>increased</b> by 29%
31 December 2020,cintas,cintas's yearly stock price <b>increased</b> by 24%
31 December 2021,cintas,cintas's yearly stock price <b>increased</b> by 18%
31 December 2009,mastercard,mastercard's yearly stock price <b>decreased</b> by 12%
31 December 2010,mastercard,mastercard's yearly stock price <b>increased</b> by 22%
31 December 2011,mastercard,mastercard's yearly stock price <b>increased</b> by 31%
31 December 2012,mastercard,mastercard's yearly stock price <b>increased</b> by 45%
31 December 2013,mastercard,mastercard's yearly stock price <b>increased</b> by 43%
31 December 2014,mastercard,mastercard's yearly stock price <b>increased</b> by 27%
31 December 2015,mastercard,mastercard's yearly stock price <b>increased</b> by 20%
31 December 2016,mastercard,mastercard's yearly stock price <b>increased</b> by 4%
31 December 2017,mastercard,mastercard's yearly stock price <b>increased</b> by 34%
31 December 2018,mastercard,mastercard's yearly stock price <b>increased</b> by 51%
31 December 2019,mastercard,mastercard's yearly stock price <b>increased</b> by 34%
31 December 2020,mastercard,mastercard's yearly stock price <b>increased</b> by 21%
31 December 2021,mastercard,mastercard's yearly stock price <b>increased</b> by 9%
31 December 2009,mtbank,mtbank's yearly stock price <b>decreased</b> by 27%
31 December 2010,mtbank,mtbank's yearly stock price <b>increased</b> by 59%
31 December 2011,mtbank,mtbank's yearly stock price <b>increased</b> by 3%
31 December 2012,mtbank,mtbank's yearly stock price <b>increased</b> by 12%
31 December 2013,mtbank,mtbank's yearly stock price <b>increased</b> by 27%
31 December 2014,mtbank,mtbank's yearly stock price <b>increased</b> by 14%
31 December 2015,mtbank,mtbank's yearly stock price <b>increased</b> by 4%
31 December 2016,mtbank,mtbank's yearly stock price <b>decreased</b> by 1%
31 December 2017,mtbank,mtbank's yearly stock price <b>increased</b> by 38%
31 December 2018,mtbank,mtbank's yearly stock price <b>increased</b> by 11%
31 December 2019,mtbank,mtbank's yearly stock price <b>decreased</b> by 5%
31 December 2020,mtbank,mtbank's yearly stock price <b>decreased</b> by 26%
31 December 2021,mtbank,mtbank's yearly stock price <b>increased</b> by 24%
31 December 2009,google,google's yearly stock price <b>decreased</b> by 5%
31 December 2010,google,google's yearly stock price <b>increased</b> by 22%
31 December 2011,google,google's yearly stock price <b>increased</b> by 6%
31 December 2012,google,google's yearly stock price <b>increased</b> by 13%
31 December 2013,google,google's yearly stock price <b>increased</b> by 38%
31 December 2014,google,google's yearly stock price <b>increased</b> by 28%
31 December 2015,google,google's yearly stock price <b>increased</b> by 9%
31 December 2016,google,google's yearly stock price <b>increased</b> by 23%
31 December 2017,google,google's yearly stock price <b>increased</b> by 23%
31 December 2018,google,google's yearly stock price <b>increased</b> by 19%
31 December 2019,google,google's yearly stock price <b>increased</b> by 6%
31 December 2020,google,google's yearly stock price <b>increased</b> by 21%
31 December 2009,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 25%
31 December 2010,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 71%
31 December 2011,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 39%
31 December 2012,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 11%
31 December 2013,edwardslifesciences,edwardslifesciences's yearly stock price <b>decreased</b> by 16%
31 December 2014,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 24%
31 December 2015,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 56%
31 December 2016,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 39%
31 December 2017,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 8%
31 December 2018,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 33%
31 December 2019,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 40%
31 December 2020,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 14%
31 December 2021,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 14%
31 December 2009,perkinelmer,perkinelmer's yearly stock price <b>decreased</b> by 30%
31 December 2010,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 37%
31 December 2011,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 7%
31 December 2012,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 16%
31 December 2013,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 30%
31 December 2014,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 26%
31 December 2015,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 13%
31 December 2016,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 5%
31 December 2017,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 24%
31 December 2018,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 27%
31 December 2019,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 12%
31 December 2020,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 20%
31 December 2021,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 39%
31 December 2009,edison,edison's yearly stock price <b>decreased</b> by 28%
31 December 2010,edison,edison's yearly stock price <b>increased</b> by 14%
31 December 2011,edison,edison's yearly stock price <b>increased</b> by 14%
31 December 2012,edison,edison's yearly stock price <b>increased</b> by 20%
31 December 2013,edison,edison's yearly stock price <b>increased</b> by 12%
31 December 2014,edison,edison's yearly stock price <b>increased</b> by 21%
31 December 2015,edison,edison's yearly stock price <b>increased</b> by 12%
31 December 2016,edison,edison's yearly stock price <b>increased</b> by 18%
31 December 2017,edison,edison's yearly stock price <b>increased</b> by 13%
31 December 2018,edison,edison's yearly stock price <b>decreased</b> by 16%
31 December 2019,edison,edison's yearly stock price <b>increased</b> by 9%
31 December 2020,edison,edison's yearly stock price <b>decreased</b> by 6%
31 December 2021,edison,edison's yearly stock price <b>increased</b> by 2%
31 December 2009,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 51%
31 December 2010,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 97%
31 December 2011,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 13%
31 December 2012,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 8%
31 December 2013,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 65%
31 December 2014,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 54%
31 December 2015,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 12%
31 December 2016,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 5%
31 December 2017,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 47%
31 December 2018,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 32%
31 December 2019,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 36%
31 December 2020,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 15%
31 December 2021,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 35%
31 December 2009,northropgrumman,northropgrumman's yearly stock price <b>decreased</b> by 23%
31 December 2010,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 31%
31 December 2011,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 11%
31 December 2012,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 11%
31 December 2013,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 40%
31 December 2014,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 49%
31 December 2015,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 36%
31 December 2016,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 29%
31 December 2017,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 26%
31 December 2018,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 19%
31 December 2019,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 4%
31 December 2020,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 4%
31 December 2021,northropgrumman,northropgrumman's yearly stock price <b>decreased</b> by 8%
31 December 2009,churchdwight,churchdwight's yearly stock price <b>decreased</b> by 2%
31 December 2010,churchdwight,churchdwight's yearly stock price <b>increased</b> by 21%
31 December 2011,churchdwight,churchdwight's yearly stock price <b>increased</b> by 26%
31 December 2012,churchdwight,churchdwight's yearly stock price <b>increased</b> by 29%
31 December 2013,churchdwight,churchdwight's yearly stock price <b>increased</b> by 22%
31 December 2014,churchdwight,churchdwight's yearly stock price <b>increased</b> by 14%
31 December 2015,churchdwight,churchdwight's yearly stock price <b>increased</b> by 24%
31 December 2016,churchdwight,churchdwight's yearly stock price <b>increased</b> by 12%
31 December 2017,churchdwight,churchdwight's yearly stock price <b>increased</b> by 7%
31 December 2018,churchdwight,churchdwight's yearly stock price <b>increased</b> by 13%
31 December 2019,churchdwight,churchdwight's yearly stock price <b>increased</b> by 34%
31 December 2020,churchdwight,churchdwight's yearly stock price <b>increased</b> by 14%
31 December 2021,churchdwight,churchdwight's yearly stock price <b>increased</b> by 5%
31 December 2009,autozone,autozone's yearly stock price <b>increased</b> by 25%
31 December 2010,autozone,autozone's yearly stock price <b>increased</b> by 35%
31 December 2011,autozone,autozone's yearly stock price <b>increased</b> by 45%
31 December 2012,autozone,autozone's yearly stock price <b>increased</b> by 26%
31 December 2013,autozone,autozone's yearly stock price <b>increased</b> by 12%
31 December 2014,autozone,autozone's yearly stock price <b>increased</b> by 29%
31 December 2015,autozone,autozone's yearly stock price <b>increased</b> by 30%
31 December 2016,autozone,autozone's yearly stock price <b>increased</b> by 10%
31 December 2017,autozone,autozone's yearly stock price <b>decreased</b> by 17%
31 December 2018,autozone,autozone's yearly stock price <b>increased</b> by 13%
31 December 2019,autozone,autozone's yearly stock price <b>increased</b> by 46%
31 December 2020,autozone,autozone's yearly stock price <b>increased</b> by 5%
31 December 2021,autozone,autozone's yearly stock price <b>increased</b> by 9%
31 December 2009,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 28%
31 December 2010,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 8%
31 December 2011,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 6%
31 December 2012,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 10%
31 December 2013,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 38%
31 December 2014,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 40%
31 December 2015,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 5%
31 December 2016,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 29%
31 December 2017,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 82%
31 December 2018,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 5%
31 December 2019,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 2%
31 December 2020,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 36%
31 December 2021,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 68%
31 December 2009,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 20%
31 December 2010,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 26%
31 December 2011,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 2%
31 December 2012,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 14%
31 December 2013,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 68%
31 December 2014,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 34%
31 December 2015,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 33%
31 December 2016,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 24%
31 December 2017,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 25%
31 December 2018,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 21%
31 December 2019,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 25%
31 December 2020,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 7%
31 December 2021,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 1%
31 December 2009,albemarle,albemarle's yearly stock price <b>decreased</b> by 16%
31 December 2010,albemarle,albemarle's yearly stock price <b>increased</b> by 58%
31 December 2011,albemarle,albemarle's yearly stock price <b>increased</b> by 31%
31 December 2012,albemarle,albemarle's yearly stock price <b>increased</b> by 6%
31 December 2013,albemarle,albemarle's yearly stock price <b>increased</b> by 9%
31 December 2014,albemarle,albemarle's yearly stock price <b>increased</b> by 2%
31 December 2015,albemarle,albemarle's yearly stock price <b>decreased</b> by 15%
31 December 2016,albemarle,albemarle's yearly stock price <b>increased</b> by 41%
31 December 2017,albemarle,albemarle's yearly stock price <b>increased</b> by 58%
31 December 2018,albemarle,albemarle's yearly stock price <b>decreased</b> by 13%
31 December 2019,albemarle,albemarle's yearly stock price <b>decreased</b> by 26%
31 December 2020,albemarle,albemarle's yearly stock price <b>increased</b> by 24%
31 December 2021,albemarle,albemarle's yearly stock price <b>increased</b> by 93%
31 December 2009,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 25%
31 December 2010,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 24%
31 December 2011,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 15%
31 December 2012,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 34%
31 December 2013,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 96%
31 December 2014,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 60%
31 December 2015,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 45%
31 December 2016,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 28%
31 December 2017,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 21%
31 December 2018,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 16%
31 December 2019,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 11%
31 December 2020,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 3%
31 December 2021,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 26%
31 December 2009,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 10%
31 December 2010,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 1%
31 December 2011,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 12%
31 December 2012,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 4%
31 December 2013,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 40%
31 December 2014,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 1%
31 December 2015,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 2%
31 December 2016,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 15%
31 December 2017,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 47%
31 December 2018,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 22%
31 December 2019,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 0%
31 December 2020,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 55%
31 December 2021,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 7%
31 December 2009,capitalone,capitalone's yearly stock price <b>decreased</b> by 35%
31 December 2010,capitalone,capitalone's yearly stock price <b>increased</b> by 50%
31 December 2011,capitalone,capitalone's yearly stock price <b>increased</b> by 18%
31 December 2012,capitalone,capitalone's yearly stock price <b>increased</b> by 15%
31 December 2013,capitalone,capitalone's yearly stock price <b>increased</b> by 18%
31 December 2014,capitalone,capitalone's yearly stock price <b>increased</b> by 26%
31 December 2015,capitalone,capitalone's yearly stock price <b>increased</b> by 3%
31 December 2016,capitalone,capitalone's yearly stock price <b>decreased</b> by 9%
31 December 2017,capitalone,capitalone's yearly stock price <b>increased</b> by 23%
31 December 2018,capitalone,capitalone's yearly stock price <b>increased</b> by 12%
31 December 2019,capitalone,capitalone's yearly stock price <b>decreased</b> by 4%
31 December 2020,capitalone,capitalone's yearly stock price <b>decreased</b> by 14%
31 December 2021,capitalone,capitalone's yearly stock price <b>increased</b> by 47%
31 December 2009,infosys,infosys's yearly stock price <b>increased</b> by 6%
31 December 2010,infosys,infosys's yearly stock price <b>increased</b> by 65%
31 December 2011,infosys,infosys's yearly stock price <b>decreased</b> by 0%
31 December 2012,infosys,infosys's yearly stock price <b>decreased</b> by 21%
31 December 2013,infosys,infosys's yearly stock price <b>increased</b> by 6%
31 December 2014,infosys,infosys's yearly stock price <b>increased</b> by 21%
31 December 2015,infosys,infosys's yearly stock price <b>increased</b> by 19%
31 December 2016,infosys,infosys's yearly stock price <b>increased</b> by 1%
31 December 2017,infosys,infosys's yearly stock price <b>decreased</b> by 9%
31 December 2018,infosys,infosys's yearly stock price <b>increased</b> by 29%
31 December 2019,infosys,infosys's yearly stock price <b>increased</b> by 17%
31 December 2020,infosys,infosys's yearly stock price <b>increased</b> by 13%
31 December 2021,infosys,infosys's yearly stock price <b>increased</b> by 54%
31 December 2020,newmont,newmont's yearly stock price <b>increased</b> by 56%
31 December 2021,newmont,newmont's yearly stock price <b>increased</b> by 0%
31 December 2009,msci,msci's yearly stock price <b>decreased</b> by 11%
31 December 2010,msci,msci's yearly stock price <b>increased</b> by 37%
31 December 2011,msci,msci's yearly stock price <b>increased</b> by 5%
31 December 2012,msci,msci's yearly stock price <b>decreased</b> by 5%
31 December 2013,msci,msci's yearly stock price <b>increased</b> by 11%
31 December 2014,msci,msci's yearly stock price <b>increased</b> by 23%
31 December 2015,msci,msci's yearly stock price <b>increased</b> by 39%
31 December 2016,msci,msci's yearly stock price <b>increased</b> by 27%
31 December 2017,msci,msci's yearly stock price <b>increased</b> by 39%
31 December 2018,msci,msci's yearly stock price <b>increased</b> by 49%
31 December 2019,msci,msci's yearly stock price <b>increased</b> by 41%
31 December 2020,msci,msci's yearly stock price <b>increased</b> by 57%
31 December 2021,msci,msci's yearly stock price <b>increased</b> by 25%
31 December 2009,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 54%
31 December 2010,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 12%
31 December 2011,electronicarts,electronicarts's yearly stock price <b>increased</b> by 26%
31 December 2012,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 31%
31 December 2013,electronicarts,electronicarts's yearly stock price <b>increased</b> by 49%
31 December 2014,electronicarts,electronicarts's yearly stock price <b>increased</b> by 57%
31 December 2015,electronicarts,electronicarts's yearly stock price <b>increased</b> by 87%
31 December 2016,electronicarts,electronicarts's yearly stock price <b>increased</b> by 15%
31 December 2017,electronicarts,electronicarts's yearly stock price <b>increased</b> by 41%
31 December 2018,electronicarts,electronicarts's yearly stock price <b>increased</b> by 14%
31 December 2019,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 19%
31 December 2020,electronicarts,electronicarts's yearly stock price <b>increased</b> by 28%
31 December 2021,electronicarts,electronicarts's yearly stock price <b>increased</b> by 17%
31 December 2009,pepsico,pepsico's yearly stock price <b>decreased</b> by 13%
31 December 2010,pepsico,pepsico's yearly stock price <b>increased</b> by 20%
31 December 2011,pepsico,pepsico's yearly stock price <b>increased</b> by 4%
31 December 2012,pepsico,pepsico's yearly stock price <b>increased</b> by 8%
31 December 2013,pepsico,pepsico's yearly stock price <b>increased</b> by 21%
31 December 2014,pepsico,pepsico's yearly stock price <b>increased</b> by 14%
31 December 2015,pepsico,pepsico's yearly stock price <b>increased</b> by 12%
31 December 2016,pepsico,pepsico's yearly stock price <b>increased</b> by 10%
31 December 2017,pepsico,pepsico's yearly stock price <b>increased</b> by 12%
31 December 2018,pepsico,pepsico's yearly stock price <b>increased</b> by 1%
31 December 2019,pepsico,pepsico's yearly stock price <b>increased</b> by 19%
31 December 2020,pepsico,pepsico's yearly stock price <b>increased</b> by 10%
31 December 2021,pepsico,pepsico's yearly stock price <b>increased</b> by 4%
31 December 2009,starbucks,starbucks's yearly stock price <b>increased</b> by 3%
31 December 2010,starbucks,starbucks's yearly stock price <b>increased</b> by 67%
31 December 2011,starbucks,starbucks's yearly stock price <b>increased</b> by 47%
