company,date,country,count,overall,balance,culture,career,comp,mgmt,knowledge,power,respect,trust,social_support,romance,similarity,identity,fun,conflict,
apple,2014-05-00,Singapore,2,3.000,4.500,4.000,2.000,4.000,1.000,0.61414,0.48875,0.21670,0.32793,0.19808,0.00854,0.28860,0.38090,0.19143,0.16907,
ericsson,2014-05-00,Indonesia,2,4.000,3.500,4.000,4.000,3.000,3.500,0.60632,0.35378,0.24836,0.34945,0.29142,0.04564,0.28457,0.33832,0.25340,0.17912,
nokia,2014-05-00,Brazil,1,5.000,3.000,5.000,4.000,3.000,4.000,0.76810,0.51505,0.39252,0.61197,0.35049,0.08877,0.29616,0.43870,0.16462,0.20488,
nokia,2014-06-00,India,10,3.100,1.700,1.600,1.900,1.600,1.200,0.65223,0.30359,0.27052,0.40111,0.31179,0.05509,0.31393,0.39066,0.28676,0.20256,
huawei,2014-06-00,Germany,1,3.000,4.000,2.000,3.000,3.000,3.000,0.63985,0.39226,0.15630,0.12823,0.12575,0.07033,0.12092,0.25390,0.20206,0.18405,
ericsson,2014-06-00,China,1,3.000,3.000,3.000,4.000,2.000,3.000,0.61043,0.38397,0.21651,0.12538,0.12865,0.03965,0.17889,0.40617,0.09898,0.23691,
nokia,2014-06-00,SouthKorea,1,4.000,2.000,4.000,3.000,2.000,4.000,0.83370,0.28882,0.13652,0.53384,0.54581,0.01840,0.18994,0.47579,0.09171,0.05396,
nokia,2014-06-00,Germany,2,4.000,4.000,4.500,3.500,4.000,3.000,0.63562,0.14080,0.31061,0.11309,0.11980,0.04834,0.11998,0.44544,0.16100,0.37183,
ericsson,2014-06-00,Canada,3,3.000,3.000,4.333,4.000,3.000,3.333,0.67475,0.15863,0.16699,0.11891,0.28854,0.03201,0.48748,0.30609,0.13636,0.06558,
ericsson,2014-06-00,Finland,1,3.000,4.000,3.000,4.000,4.000,2.000,0.58874,0.17189,0.12541,0.60884,0.40884,0.00902,0.25353,0.34103,0.36945,0.26103,
nokia,2014-06-00,Finland,2,3.500,3.000,3.000,4.000,3.000,3.000,0.77279,0.56537,0.34093,0.46822,0.48362,0.00737,0.35475,0.46720,0.12104,0.15575,
huawei,2014-06-00,Venezuela,1,5.000,2.000,5.000,4.000,4.000,4.000,0.59916,0.29025,0.15437,0.15929,0.21956,0.09489,0.36247,0.23437,0.37754,0.09416,
ericsson,2014-06-00,US,13,3.385,3.692,3.538,3.538,4.000,3.462,0.51982,0.26046,0.28356,0.35862,0.31208,0.05939,0.27220,0.34453,0.23207,0.17329,
ericsson,2014-06-00,Japan,1,3.000,4.000,3.000,2.000,3.000,2.000,0.42928,0.37607,0.33181,0.34378,0.30971,0.13330,0.29630,0.36212,0.25674,0.35580,
nokia,2014-06-00,Egypt,2,3.000,3.500,4.000,3.000,3.000,2.500,0.84421,0.62710,0.32265,0.65482,0.39146,0.04009,0.20607,0.45199,0.25661,0.28487,
huawei,2014-06-00,China,2,3.000,1.500,2.000,2.500,3.500,2.500,0.54830,0.31633,0.22296,0.24207,0.29987,0.02582,0.24393,0.31335,0.17047,0.13955,
starbucks,2014-06-00,UK,1,4.000,4.000,4.000,4.000,4.000,3.000,0.55982,0.28702,0.17350,0.31533,0.40492,0.00523,0.23150,0.29519,0.35740,0.16847,
ericsson,2014-06-00,Sweden,3,3.000,3.667,3.333,3.000,2.667,2.667,0.47107,0.28162,0.30735,0.25964,0.38338,0.05244,0.36639,0.36143,0.22152,0.22318,
ericsson,2014-06-00,Australia,1,3.000,2.000,4.000,4.000,3.000,2.000,0.66961,0.11441,0.15623,0.18076,0.41257,0.00114,0.18695,0.31597,0.18547,0.06665,
telefonica,2014-06-00,UK,4,4.000,4.000,3.750,3.250,3.750,3.000,0.52322,0.25261,0.24395,0.29018,0.27108,0.05906,0.39209,0.32672,0.16825,0.15767,
amazon,2014-06-00,UK,1,1.000,1.000,1.000,2.000,2.000,1.000,0.72639,0.45399,0.06907,0.00000,0.03300,0.00212,0.09113,0.25393,0.07956,0.04758,
huawei,2014-06-00,Russia,1,5.000,4.000,4.000,4.000,4.000,3.000,0.60430,0.24372,0.20066,0.17337,0.24637,0.10868,0.47034,0.29087,0.29955,0.14224,
apple,2014-06-00,US,55,3.818,3.236,4.182,3.255,3.909,3.400,0.56242,0.26922,0.23969,0.26049,0.29485,0.05872,0.24428,0.29668,0.25291,0.15235,
nokia,2014-06-00,Lebanon,1,4.000,5.000,4.000,4.000,4.000,3.000,0.68290,0.44658,0.45137,0.34863,0.47719,0.00901,0.31126,0.42511,0.30070,0.36444,
huawei,2014-06-00,Ghana,1,3.000,2.000,2.000,4.000,3.000,2.000,0.45651,0.20641,0.30893,0.33725,0.47448,0.04377,0.37796,0.33669,0.26247,0.08234,
apple,2014-06-00,Canada,2,4.500,4.000,4.500,4.000,4.500,4.500,0.61000,0.23818,0.19214,0.21690,0.18892,0.03206,0.11589,0.24839,0.21428,0.09935,
ericsson,2014-06-00,Italy,1,2.000,5.000,2.000,1.000,2.000,1.000,0.56384,0.23099,0.28085,0.28719,0.26718,0.01735,0.19389,0.30475,0.30861,0.24275,
nokia,2014-06-00,Portugal,1,2.000,3.000,1.000,1.000,1.000,1.000,0.87010,0.57027,0.12418,0.09808,0.16150,0.02712,0.09811,0.43905,0.13313,0.13310,
huawei,2014-06-00,India,7,3.000,2.000,2.429,3.571,3.286,2.286,0.53712,0.35091,0.28264,0.35567,0.38684,0.06835,0.30794,0.30868,0.26656,0.12809,
ericsson,2014-06-00,Ireland,1,4.000,4.000,4.000,4.000,4.000,4.000,0.53953,0.26393,0.29025,0.36999,0.40447,0.00261,0.27503,0.34722,0.13245,0.02807,
nokia,2014-06-00,China,2,4.500,5.000,5.000,3.000,4.000,4.500,0.63337,0.46126,0.26656,0.37315,0.45450,0.02620,0.26367,0.39407,0.07313,0.11991,
huawei,2014-06-00,Mexico,1,3.000,1.000,3.000,4.000,3.000,2.000,0.56520,0.53450,0.20718,0.12898,0.30172,0.03772,0.17955,0.30480,0.27659,0.17470,
mcdonalds,2014-06-00,KS,1,4.000,4.000,5.000,3.000,2.000,4.000,0.38418,0.24746,0.38343,0.43978,0.48055,0.02609,0.33639,0.30960,0.37353,0.20137,
apple,2014-06-00,UK,3,4.000,3.333,4.333,2.333,4.333,3.000,0.45814,0.29085,0.31989,0.28764,0.35849,0.19666,0.27630,0.32921,0.38596,0.20456,
telefonica,2014-06-00,Spain,1,3.000,4.000,3.000,2.000,3.000,2.000,0.53195,0.28237,0.26215,0.32582,0.38864,0.04050,0.37730,0.37030,0.35109,0.23272,
ericsson,2014-06-00,SaudiArabia,1,5.000,2.000,5.000,5.000,2.000,4.000,0.53870,0.37873,0.21694,0.49231,0.31964,0.00759,0.32198,0.38056,0.09443,0.12266,
ericsson,2014-06-00,Spain,1,4.000,3.000,5.000,4.000,4.000,3.000,0.60319,0.46018,0.16278,0.34813,0.33093,0.04552,0.33583,0.27714,0.14380,0.07313,
nokia,2014-06-00,US,3,4.000,4.000,4.000,3.667,4.000,3.333,0.61567,0.49595,0.31313,0.45400,0.35559,0.13528,0.33734,0.41451,0.28096,0.29581,
huawei,2014-06-00,Malaysia,1,3.000,1.000,4.000,3.000,5.000,1.000,0.53687,0.40654,0.39829,0.48078,0.39203,0.08911,0.36137,0.30621,0.12954,0.11482,
mcdonalds,2014-06-00,UK,15,3.533,3.067,3.533,2.933,2.400,2.733,0.55884,0.29139,0.24170,0.21957,0.34426,0.05536,0.27761,0.28492,0.23195,0.15618,
nokia,2014-06-00,UAE,1,4.000,5.000,4.000,4.000,4.000,2.000,0.65394,0.50499,0.45141,0.58521,0.50987,0.16394,0.36862,0.46393,0.23729,0.18832,
huawei,2014-06-00,US,1,1.000,0.000,0.000,0.000,0.000,0.000,0.47280,0.13300,0.24894,0.34768,0.33346,0.11361,0.34543,0.31834,0.23253,0.31196,
nokia,2014-06-00,Spain,1,2.000,4.000,4.000,2.000,3.000,1.000,0.96003,0.01953,0.23113,0.22717,0.00147,0.00008,0.00461,0.48418,0.27123,0.32933,
ericsson,2014-06-00,India,14,3.143,3.500,3.214,3.071,3.000,2.571,0.48535,0.34608,0.31491,0.37496,0.37258,0.06176,0.28900,0.33015,0.26919,0.17249,
ericsson,2014-07-00,Germany,1,3.000,5.000,3.000,4.000,3.000,2.000,0.70950,0.25552,0.04603,0.00000,0.26806,0.00040,0.00318,0.21304,0.07117,0.08251,
mcdonalds,2014-07-00,UK,5,3.000,3.000,3.200,3.000,2.000,3.000,0.50653,0.17568,0.28140,0.22401,0.38236,0.05573,0.28516,0.28807,0.22516,0.19617,
nokia,2014-07-00,Nigeria,1,5.000,0.000,0.000,0.000,0.000,0.000,0.43297,0.38741,0.37134,0.45602,0.41089,0.13979,0.34477,0.36995,0.34861,0.15201,
apple,2014-07-00,UK,4,2.750,2.250,3.000,2.250,3.250,2.500,0.60902,0.23612,0.17063,0.13167,0.23609,0.03917,0.30142,0.24486,0.14063,0.12286,
ericsson,2014-07-00,Spain,1,4.000,3.000,5.000,4.000,4.000,2.000,0.59956,0.22156,0.11675,0.37535,0.25574,0.00433,0.14499,0.38840,0.16544,0.22018,
apple,2014-07-00,Mexico,2,3.000,2.500,4.000,1.000,5.000,2.000,0.54889,0.25554,0.27444,0.52777,0.35617,0.06496,0.20060,0.35522,0.19151,0.13798,
telefonica,2014-07-00,Argentinia,1,3.000,4.000,3.000,3.000,5.000,2.000,0.51574,0.36387,0.27699,0.22839,0.33924,0.04188,0.26455,0.39714,0.12095,0.14691,
nokia,2014-07-00,Australia,1,2.000,1.000,3.000,1.000,1.000,3.000,0.95517,0.69751,0.16339,0.22030,0.05872,0.00514,0.26756,0.41856,0.16313,0.03394,
huawei,2014-07-00,India,3,3.333,2.667,3.333,3.667,4.000,3.000,0.54633,0.39191,0.22917,0.33644,0.37973,0.06866,0.26642,0.28416,0.26448,0.17072,
ericsson,2014-07-00,Australia,2,4.000,4.000,4.500,3.500,3.000,3.000,0.54911,0.19647,0.28595,0.32884,0.38486,0.01495,0.24465,0.34689,0.20066,0.10411,
ericsson,2014-07-00,US,9,3.889,3.667,3.889,3.556,4.111,3.444,0.53970,0.34655,0.30965,0.33294,0.33177,0.06527,0.35678,0.33553,0.23222,0.13608,
telefonica,2014-07-00,Venezuela,1,5.000,4.000,4.000,5.000,4.000,5.000,0.62358,0.12233,0.12403,0.16895,0.34156,0.06506,0.38156,0.29366,0.14117,0.10572,
nokia,2014-07-00,Serbia,1,4.000,5.000,5.000,3.000,4.000,3.000,0.64128,0.39438,0.16726,0.35457,0.24569,0.02300,0.39362,0.27252,0.11225,0.12086,
huawei,2014-07-00,Brazil,1,4.000,3.000,2.000,5.000,2.000,2.000,0.47531,0.30609,0.36012,0.44287,0.46318,0.02361,0.24467,0.34568,0.16511,0.23304,
nokia,2014-07-00,Germany,1,4.000,3.000,4.000,4.000,4.000,4.000,0.86139,0.14172,0.31817,0.11683,0.10345,0.02704,0.09711,0.48561,0.15797,0.42859,
ericsson,2014-07-00,HongKong,1,4.000,3.000,4.000,4.000,4.000,3.000,0.67000,0.57151,0.19451,0.20455,0.10409,0.00079,0.15818,0.35947,0.20031,0.18860,
nokia,2014-07-00,SaudiArabia,1,4.000,0.000,0.000,0.000,0.000,0.000,0.72993,0.44883,0.30297,0.70502,0.40058,0.01391,0.48302,0.52081,0.09792,0.21733,
huawei,2014-07-00,Australia,1,3.000,1.000,2.000,3.000,2.000,2.000,0.36841,0.32937,0.37268,0.43810,0.41486,0.07706,0.35525,0.32252,0.34417,0.29257,
nokia,2014-07-00,China,2,4.500,5.000,4.000,3.500,4.000,2.500,0.72765,0.33383,0.34196,0.35799,0.40734,0.10809,0.22691,0.46311,0.32296,0.18336,
ericsson,2014-07-00,Romania,1,2.000,1.000,3.000,4.000,2.000,1.000,0.59758,0.44766,0.18871,0.35219,0.29895,0.02721,0.14874,0.30105,0.26881,0.06520,
apple,2014-07-00,Canada,2,2.500,2.000,3.500,3.500,3.000,1.500,0.56221,0.18691,0.23620,0.39593,0.32987,0.00950,0.21299,0.31218,0.25639,0.10418,
telefonica,2014-07-00,US,1,4.000,4.000,4.000,4.000,4.000,4.000,0.57600,0.35967,0.23127,0.47144,0.30529,0.03314,0.21038,0.34369,0.12028,0.06501,
nokia,2014-07-00,India,9,3.556,4.222,3.889,3.333,3.444,3.556,0.65971,0.40601,0.33406,0.40869,0.35607,0.05271,0.38311,0.41403,0.28191,0.18331,
huawei,2014-07-00,Egypt,1,3.000,3.000,3.000,3.000,4.000,3.000,0.51785,0.11746,0.40062,0.31576,0.53320,0.04192,0.29557,0.25739,0.29019,0.12403,
nokia,2014-07-00,France,1,5.000,5.000,5.000,5.000,5.000,5.000,0.82078,0.05770,0.44507,0.23351,0.04785,0.00001,0.11251,0.53525,0.72267,0.25300,
ericsson,2014-07-00,France,1,2.000,4.000,2.000,1.000,2.000,2.000,0.30143,0.23580,0.18385,0.28899,0.51505,0.00689,0.15176,0.36880,0.13889,0.28583,
starbucks,2014-07-00,UK,3,3.667,4.000,4.333,2.667,2.667,3.000,0.58544,0.29474,0.23126,0.14823,0.32322,0.05687,0.33052,0.28007,0.22635,0.13035,
nokia,2014-07-00,Greece,1,4.000,4.000,5.000,4.000,3.000,3.000,0.87648,0.80221,0.22977,0.26532,0.28110,0.09666,0.27771,0.43439,0.19078,0.11207,
ericsson,2014-07-00,UAE,1,3.000,4.000,4.000,2.000,4.000,3.000,0.56052,0.46867,0.15209,0.37183,0.27648,0.00780,0.31052,0.31674,0.10177,0.15862,
nokia,2014-07-00,US,11,3.818,4.364,4.364,3.182,3.727,2.545,0.72695,0.48738,0.33764,0.41381,0.36819,0.07507,0.45725,0.43140,0.22808,0.19583,
ericsson,2014-07-00,Croatia,1,4.000,5.000,5.000,4.000,5.000,4.000,0.59021,0.20102,0.20717,0.34984,0.45389,0.00677,0.58754,0.33801,0.11223,0.10031,
ericsson,2014-07-00,Ireland,1,3.000,4.000,4.000,3.000,2.000,2.000,0.61754,0.14872,0.24034,0.36393,0.38446,0.00503,0.12242,0.30051,0.18510,0.10704,
telefonica,2014-07-00,Germany,1,4.000,5.000,3.000,3.000,3.000,3.000,0.56754,0.29376,0.34552,0.34087,0.31910,0.04998,0.38190,0.38525,0.27810,0.14600,
telefonica,2014-07-00,UK,2,3.500,4.000,4.000,3.500,4.000,3.000,0.60949,0.37150,0.30492,0.30516,0.34724,0.00352,0.19922,0.27456,0.16784,0.01890,
mcdonalds,2014-07-00,KS,1,2.000,3.000,4.000,4.000,2.000,3.000,0.57885,0.09483,0.13681,0.11816,0.16663,0.00030,0.08882,0.32365,0.06801,0.35577,
nokia,2014-07-00,Finland,2,4.500,4.500,5.000,5.000,3.000,2.000,0.66296,0.47371,0.25026,0.49201,0.36758,0.02303,0.37595,0.42795,0.15937,0.23436,
huawei,2014-07-00,China,2,3.500,2.000,2.500,2.500,3.500,3.500,0.52668,0.26520,0.19992,0.16089,0.27919,0.11368,0.23154,0.32908,0.18698,0.16361,
ericsson,2014-07-00,Turkey,1,4.000,4.000,2.000,4.000,4.000,0.000,0.35343,0.22956,0.41446,0.42900,0.44691,0.15026,0.30461,0.34993,0.37305,0.24236,
apple,2014-07-00,US,74,3.851,3.216,3.851,3.068,3.757,3.162,0.55408,0.27011,0.25423,0.29291,0.31341,0.05797,0.28410,0.31238,0.21947,0.15251,
nokia,2014-07-00,Mexico,1,4.000,4.000,5.000,4.000,4.000,3.000,0.72191,0.47376,0.41843,0.48071,0.43467,0.05531,0.33048,0.50126,0.23194,0.32770,
ericsson,2014-07-00,Hungary,1,2.000,4.000,3.000,1.000,2.000,2.000,0.64736,0.16324,0.18105,0.12907,0.36515,0.03473,0.11692,0.25711,0.28791,0.03482,
ericsson,2014-07-00,Sweden,2,3.500,3.500,3.500,3.000,3.500,3.000,0.57716,0.16075,0.25575,0.16299,0.25332,0.11080,0.34953,0.32926,0.25155,0.08378,
apple,2014-07-00,Australia,2,4.000,4.000,4.500,4.000,3.500,4.000,0.62562,0.45218,0.15083,0.36127,0.39133,0.00681,0.17350,0.28223,0.14629,0.03973,
nokia,2014-07-00,Argentinia,1,5.000,4.000,5.000,3.000,3.000,4.000,0.90445,0.37935,0.22633,0.19916,0.37617,0.00175,0.37055,0.42112,0.04899,0.08265,
nokia,2014-07-00,Hungary,2,4.000,4.000,5.000,4.000,4.000,3.500,0.64734,0.41828,0.27866,0.28325,0.32077,0.06453,0.23012,0.39077,0.29140,0.18444,
amazon,2014-07-00,UK,4,2.000,2.000,2.250,1.750,2.500,1.250,0.61370,0.35585,0.15816,0.23750,0.22924,0.04860,0.23072,0.30446,0.20859,0.13841,
nokia,2014-07-00,Canada,1,4.000,4.000,4.000,3.000,4.000,4.000,0.39979,0.32721,0.38608,0.42636,0.42110,0.09263,0.35628,0.32969,0.42745,0.19868,
huawei,2014-07-00,Kazakhstan,1,2.000,2.000,3.000,3.000,3.000,2.000,0.53478,0.39139,0.30278,0.45205,0.37242,0.06648,0.29678,0.34808,0.30307,0.14036,
ericsson,2014-07-00,UK,1,4.000,4.000,3.000,5.000,3.000,4.000,0.67909,0.11991,0.09811,0.18479,0.34079,0.00192,0.12881,0.33947,0.06002,0.16315,
ericsson,2014-07-00,Egypt,1,4.000,4.000,4.000,4.000,4.000,1.000,0.65417,0.30631,0.38493,0.34051,0.18890,0.01600,0.38589,0.33744,0.38612,0.19051,
apple,2014-07-00,China,1,3.000,3.000,3.000,3.000,3.000,3.000,0.60579,0.40550,0.18102,0.33681,0.17624,0.01331,0.31648,0.38516,0.13205,0.19487,
nokia,2014-07-00,Thailand,1,5.000,4.000,4.000,5.000,5.000,5.000,0.62559,0.54722,0.50114,0.46649,0.47194,0.25920,0.41315,0.44276,0.45819,0.24890,
telefonica,2014-07-00,Brazil,1,3.000,3.000,2.000,2.000,3.000,2.000,0.46519,0.20634,0.28257,0.34406,0.31320,0.03578,0.29600,0.27792,0.31853,0.22793,
nokia,2014-07-00,Egypt,2,4.000,1.000,1.500,2.000,1.000,0.500,0.79229,0.51421,0.43487,0.38917,0.44057,0.06141,0.31380,0.33329,0.35424,0.11672,
huawei,2014-07-00,Netherlands,1,3.000,1.000,4.000,4.000,4.000,4.000,0.40968,0.36508,0.35474,0.47095,0.43716,0.16509,0.35253,0.36429,0.17322,0.20059,
ericsson,2014-07-00,India,11,3.364,3.455,3.545,3.273,3.273,2.636,0.53838,0.32063,0.28749,0.38547,0.36452,0.06639,0.26856,0.34188,0.24088,0.16160,
ericsson,2014-08-00,Indonesia,2,4.000,4.000,3.500,3.500,3.500,3.500,0.55105,0.33011,0.30966,0.31271,0.36257,0.07609,0.28165,0.32870,0.22326,0.20786,
telefonica,2014-08-00,Brazil,2,4.000,3.000,3.000,4.000,3.500,2.500,0.56922,0.49038,0.20270,0.28771,0.28912,0.01495,0.23115,0.35841,0.10530,0.17954,
huawei,2014-08-00,Indonesia,1,5.000,5.000,4.000,4.000,4.000,4.000,0.57104,0.39604,0.24888,0.36192,0.20326,0.08569,0.14062,0.33449,0.23783,0.19282,
amazon,2014-08-00,UK,4,3.500,2.250,3.750,3.000,3.250,3.000,0.58043,0.23028,0.18703,0.23354,0.29323,0.06863,0.27389,0.28443,0.22800,0.13784,
apple,2014-08-00,Canada,4,3.500,3.500,4.000,3.000,4.500,3.500,0.62313,0.12213,0.17844,0.27130,0.36168,0.04921,0.19096,0.31907,0.20530,0.11416,
nokia,2014-08-00,UAE,2,3.000,4.000,3.000,3.000,3.000,2.500,0.73789,0.36764,0.17750,0.26278,0.27351,0.01443,0.28405,0.38443,0.10620,0.19816,
ericsson,2014-08-00,China,3,3.667,4.000,4.333,3.000,3.333,3.667,0.52323,0.39636,0.28114,0.30491,0.30035,0.07619,0.32077,0.36643,0.26941,0.13343,
nokia,2014-08-00,Portugal,1,3.000,5.000,3.000,2.000,2.000,2.000,0.79358,0.55894,0.24891,0.24645,0.35271,0.16401,0.29109,0.40480,0.23156,0.14562,
huawei,2014-08-00,Romania,1,3.000,4.000,2.000,2.000,3.000,2.000,0.71287,0.29527,0.09689,0.23032,0.36186,0.00010,0.11810,0.33248,0.03945,0.01211,
apple,2014-08-00,Italy,1,1.000,2.000,1.000,1.000,2.000,1.000,0.36781,0.35616,0.30877,0.42085,0.24498,0.01206,0.29570,0.36429,0.14190,0.38448,
ericsson,2014-08-00,Ireland,2,4.500,5.000,5.000,4.000,2.500,2.000,0.38386,0.25600,0.38094,0.33499,0.42616,0.10108,0.30807,0.34703,0.41323,0.21128,
ericsson,2014-08-00,Egypt,1,3.000,2.000,3.000,3.000,3.000,3.000,0.55213,0.18573,0.27692,0.21167,0.41702,0.05972,0.18774,0.31263,0.26172,0.25212,
nokia,2014-08-00,Finland,7,3.714,2.143,2.571,2.143,2.429,1.286,0.56954,0.29550,0.32612,0.51895,0.34682,0.04430,0.33790,0.35290,0.32316,0.19715,
mcdonalds,2014-08-00,UK,7,3.000,4.143,3.286,3.714,3.143,3.000,0.51946,0.23378,0.20142,0.18053,0.31963,0.03571,0.24606,0.30382,0.19777,0.22489,
huawei,2014-08-00,US,3,2.667,2.333,2.000,2.667,2.667,2.333,0.59025,0.26403,0.21885,0.21589,0.34703,0.07509,0.35952,0.33126,0.21325,0.14303,
ericsson,2014-08-00,Hungary,1,4.000,5.000,5.000,3.000,3.000,3.000,0.65010,0.37005,0.15810,0.04271,0.18113,0.00439,0.12560,0.28443,0.12712,0.21062,
ericsson,2014-08-00,Colombia,2,3.500,3.000,4.500,3.000,3.500,4.000,0.56317,0.34426,0.20974,0.13284,0.38658,0.04493,0.34672,0.33819,0.17485,0.15883,
apple,2014-08-00,HongKong,1,4.000,4.000,4.000,5.000,5.000,3.000,0.68290,0.41727,0.09923,0.37225,0.11006,0.00058,0.45164,0.37233,0.07292,0.10940,
nokia,2014-08-00,China,6,4.167,3.833,3.833,3.333,3.167,2.167,0.65515,0.46127,0.30923,0.52338,0.41205,0.05594,0.29285,0.42704,0.24907,0.21241,
ericsson,2014-08-00,India,18,3.333,3.278,3.167,3.556,2.889,2.722,0.52296,0.36277,0.28000,0.37631,0.35870,0.08570,0.30036,0.34354,0.24963,0.19390,
huawei,2014-08-00,India,5,2.800,2.200,2.200,3.200,3.400,2.200,0.42861,0.25100,0.32394,0.46012,0.40988,0.08234,0.26743,0.33966,0.26019,0.21449,
nokia,2014-08-00,UK,1,3.000,4.000,3.000,3.000,4.000,2.000,0.83424,0.54708,0.32076,0.26172,0.44957,0.00058,0.21758,0.35416,0.13200,0.06962,
ericsson,2014-08-00,Bangladesh,1,4.000,4.000,4.000,4.000,4.000,4.000,0.34050,0.28289,0.39897,0.39243,0.40917,0.08467,0.32590,0.38885,0.31049,0.21824,
ericsson,2014-08-00,Japan,1,3.000,3.000,3.000,4.000,2.000,2.000,0.65047,0.61594,0.18638,0.12023,0.10426,0.07735,0.36590,0.34462,0.24805,0.13791,
starbucks,2014-08-00,UK,2,2.000,2.000,2.000,2.000,2.000,2.000,0.50579,0.22814,0.23755,0.43983,0.40517,0.10944,0.27733,0.29141,0.34045,0.26249,
nokia,2014-08-00,India,15,4.067,3.933,3.600,3.267,3.333,3.067,0.67583,0.38680,0.28896,0.38084,0.36841,0.05767,0.32149,0.40031,0.25571,0.16744,
apple,2014-08-00,US,63,3.968,3.000,3.794,3.254,3.730,3.238,0.56817,0.26699,0.22418,0.25825,0.31908,0.05116,0.26596,0.30634,0.20801,0.14610,
ericsson,2014-08-00,Canada,2,4.000,3.500,4.000,3.500,4.000,3.500,0.59983,0.13644,0.21667,0.27855,0.27393,0.01407,0.17016,0.31500,0.16048,0.07671,
telefonica,2014-08-00,CzechRepublic,1,2.000,3.000,1.000,1.000,4.000,2.000,0.64989,0.29862,0.21062,0.16729,0.19914,0.00226,0.26341,0.22475,0.10802,0.22657,
huawei,2014-08-00,Pakistan,1,4.000,4.000,3.000,4.000,3.000,3.000,0.63348,0.47929,0.20249,0.12840,0.20569,0.00785,0.23105,0.39826,0.07703,0.12736,
ericsson,2014-08-00,Spain,1,1.000,1.000,1.000,1.000,1.000,1.000,0.48110,0.19828,0.20994,0.27474,0.23500,0.08570,0.26292,0.28724,0.38236,0.32274,
huawei,2014-08-00,UK,1,1.000,1.000,1.000,1.000,1.000,1.000,0.57913,0.15388,0.24083,0.18966,0.33389,0.01417,0.07669,0.28817,0.09684,0.20519,
ericsson,2014-08-00,Chile,1,4.000,3.000,5.000,4.000,4.000,2.000,0.61740,0.34230,0.25235,0.34424,0.43770,0.06994,0.19837,0.27796,0.13844,0.08371,
nokia,2014-08-00,US,21,3.619,3.857,3.810,2.810,3.952,2.667,0.60763,0.38310,0.30471,0.32654,0.34379,0.06465,0.32615,0.37338,0.23782,0.21655,
ericsson,2014-08-00,US,17,3.353,3.765,3.529,3.176,3.765,2.647,0.52824,0.30153,0.29455,0.38374,0.37431,0.04627,0.28775,0.32405,0.20971,0.12997,
apple,2014-08-00,Australia,3,2.333,2.000,3.667,2.000,2.667,3.333,0.58153,0.34422,0.23596,0.23469,0.27752,0.02725,0.32532,0.29725,0.22648,0.14927,
nokia,2014-08-00,France,1,3.000,4.000,3.000,2.000,3.000,3.000,0.88219,0.64493,0.20185,0.17598,0.60165,0.02225,0.13149,0.34708,0.21975,0.15278,
telefonica,2014-08-00,Spain,3,3.667,4.667,3.000,2.667,3.667,2.333,0.53044,0.35344,0.31553,0.34780,0.33590,0.07729,0.23864,0.36735,0.15897,0.26624,
huawei,2014-08-00,Nigeria,1,4.000,0.000,0.000,0.000,0.000,0.000,0.56637,0.20823,0.12951,0.36744,0.25081,0.03583,0.41416,0.25183,0.24876,0.23916,
apple,2014-08-00,UK,3,2.333,2.667,3.000,1.667,2.667,1.667,0.57766,0.34451,0.17042,0.22191,0.23515,0.02627,0.17470,0.30054,0.27838,0.17321,
ericsson,2014-08-00,Venezuela,1,3.000,4.000,3.000,2.000,4.000,2.000,0.62555,0.53801,0.18270,0.14458,0.33823,0.11018,0.30200,0.32963,0.17569,0.13283,
ericsson,2014-08-00,Sweden,3,3.333,4.333,3.667,3.000,2.667,3.000,0.55422,0.30589,0.28542,0.31592,0.36828,0.05121,0.32803,0.35450,0.20755,0.09128,
apple,2014-08-00,Singapore,2,4.000,3.500,3.500,2.500,4.000,3.000,0.43358,0.32695,0.35088,0.45493,0.44419,0.22427,0.38140,0.35175,0.33181,0.15583,
nokia,2014-08-00,Hungary,1,4.000,5.000,4.000,3.000,4.000,3.000,0.60965,0.35583,0.22189,0.14585,0.31291,0.07670,0.30437,0.32432,0.23143,0.12824,
nokia,2014-09-00,Portugal,1,5.000,5.000,5.000,4.000,5.000,5.000,0.36070,0.38706,0.37532,0.42357,0.42239,0.24218,0.37322,0.34680,0.36105,0.25821,
ericsson,2014-09-00,Sweden,2,3.500,4.000,3.500,4.000,4.000,3.000,0.54807,0.20976,0.28962,0.32465,0.38207,0.02683,0.35954,0.33400,0.14562,0.17327,
ericsson,2014-09-00,Romania,1,1.000,1.000,2.000,1.000,1.000,1.000,0.54123,0.14822,0.17157,0.27824,0.25011,0.02044,0.43056,0.28059,0.37111,0.20330,
nokia,2014-09-00,Indonesia,1,5.000,3.000,5.000,5.000,3.000,5.000,0.72717,0.65937,0.60699,0.72770,0.45841,0.03586,0.47770,0.47538,0.30005,0.06652,
huawei,2014-09-00,Egypt,1,4.000,3.000,3.000,4.000,3.000,3.000,0.62864,0.30216,0.30143,0.14090,0.42514,0.02527,0.09334,0.29333,0.16658,0.05405,
ericsson,2014-09-00,France,1,5.000,4.000,5.000,3.000,3.000,4.000,0.46800,0.29611,0.40856,0.14316,0.42084,0.01731,0.16565,0.35324,0.43574,0.23299,
