company,date,country,count,overall,balance,culture,career,comp,mgmt,knowledge,power,respect,trust,social_support,romance,similarity,identity,fun,conflict,
huawei,2008-08-00,UK,2,2.000,2.750,2.000,3.000,2.000,0.000,0.62365,0.23836,0.19207,0.19743,0.22457,0.03451,0.19955,0.35025,0.09632,0.06770,
nokia,2008-08-00,US,3,3.333,3.833,3.667,3.333,2.833,0.000,0.66162,0.55997,0.33529,0.41500,0.40740,0.07781,0.32457,0.43861,0.28277,0.32514,
apple,2008-08-00,SouthAfrica,1,1.000,2.000,1.000,3.000,1.000,0.000,0.61088,0.34750,0.10428,0.13503,0.14012,0.00109,0.37855,0.26918,0.11490,0.12228,
mcdonalds,2008-08-00,UK,1,1.000,1.000,1.000,1.000,3.500,0.000,0.56682,0.16449,0.15191,0.26026,0.31091,0.12795,0.12361,0.20772,0.19831,0.20482,
telefonica,2008-08-00,Ireland,1,1.000,1.000,1.000,1.000,1.000,0.000,0.67527,0.17982,0.09706,0.00236,0.07689,0.01402,0.59995,0.26313,0.11854,0.23117,
apple,2008-08-00,UK,1,4.000,5.000,2.000,4.500,4.000,0.000,0.60238,0.33770,0.13410,0.09893,0.09583,0.04568,0.36440,0.22572,0.22484,0.33877,
ericsson,2008-08-00,UAE,1,2.000,3.000,2.000,1.500,1.000,0.000,0.52882,0.21575,0.14208,0.37290,0.26213,0.00722,0.26979,0.32146,0.19392,0.19046,
apple,2008-08-00,US,17,3.824,3.618,3.382,3.618,3.971,0.000,0.62139,0.16894,0.18610,0.15294,0.24686,0.01493,0.21062,0.28624,0.16725,0.11244,
telefonica,2008-08-00,Spain,1,4.000,4.000,3.500,3.500,4.000,0.000,0.64986,0.25709,0.11618,0.15397,0.10503,0.01281,0.13597,0.33437,0.11938,0.13445,
ericsson,2008-08-00,China,1,3.000,3.500,2.000,3.000,1.500,0.000,0.66969,0.29874,0.14766,0.16768,0.24054,0.03588,0.10891,0.29061,0.13859,0.07186,
nokia,2008-08-00,UK,1,4.000,4.500,5.000,4.500,4.000,0.000,0.84102,0.34167,0.19660,0.17591,0.57459,0.00930,0.26689,0.39360,0.18348,0.16397,
apple,2008-09-00,US,24,3.667,3.604,3.438,3.667,3.521,0.000,0.59945,0.29325,0.18722,0.20382,0.29517,0.04559,0.16148,0.28921,0.17869,0.14565,
